name,avg_bat_speed
"Abrams, CJ",72.24537364
"Abreu, Wilyer",74.55485899
"Adames, Willy",73.61564384
"Adell, Jo",76.67403305
"Albies, Ozzie",69.09453961
"Alonso, Pete",75.27954858
"Altuve, Jose",69.40079684
"Alvarez, Yordan",76.55361603
"Arcia, Orlando",70.85992416
"Arenado, Nolan",70.74973216
"Arozarena, Randy",72.74487633
"Arraez, Luis",63.19535945
"Bader, Harrison",71.14837737
"Bailey, Patrick",71.29382642
"Bell, Josh",70.42516661
"Bellinger, Cody",68.97372607
"Benintendi, Andrew",68.0370308
"Benson, Will",72.08176757
"Betts, Mookie",69.11324892
"Blackmon, Charlie",67.41614263
"Bleday, JJ",71.72774491
"Bogaerts, Xander",70.72290196
"Bohm, Alec",72.20619004
"Bregman, Alex",71.35011776
"Brown, Seth",73.30077019
"Burger, Jake",74.68849192
"Burleson, Alec",71.18966752
"Busch, Michael",70.26384858
"Butler, Lawrence",74.19212225
"Buxton, Byron",74.32131126
"Caballero, José",69.6966992
"Candelario, Jeimer",68.446306
"Canha, Mark",68.43849165
"Carroll, Corbin",73.6931499
"Castellanos, Nick",71.85833894
"Castro, Willi",70.6627242
"Chapman, Matt",76.5996406
"Chisholm Jr., Jazz",71.99104249
"Chourio, Jackson",73.16058288
"Clement, Ernie",66.75706666
"Conforto, Michael",74.12210267
"Contreras, William",74.66873254
"Cowser, Colton",73.75883814
"Crawford, J.P.",71.92572616
"Cronenworth, Jake",69.4203696
"Crow-Armstrong, Pete",70.57432739
"Cruz, Oneil",78.5642216
"De La Cruz, Bryan",71.7777621
"De La Cruz, Elly",75.19724338
"DeJong, Paul",72.04020519
"DeLuca, Jonny",70.82690275
"Devers, Rafael",72.54349759
"Diaz, Yainer",72.55708167
"Díaz, Yandy",73.26690033
"Donovan, Brendan",69.62546681
"Doyle, Brenton",70.9331781
"Dubón, Mauricio",69.38604344
"Duran, Jarren",73.61282819
"Fraley, Jake",71.80723451
"France, Ty",71.0336115
"Freeman, Freddie",69.76105679
"Frelick, Sal",66.26521657
"Fry, David",70.54521777
"García Jr., Luis",71.6553396
"García, Adolis",71.95052441
"Garcia, Maikel",70.76887209
"Gelof, Zack",71.62430864
"Giménez, Andrés",68.2423135
"Goldschmidt, Paul",72.48416545
"Gonzales, Nick",71.07420605
"Gorman, Nolan",73.21573011
"Greene, Riley",74.64494159
