name,slg
"Abrams, CJ",0.433
"Abreu, Wilyer",0.459
"Acuña Jr., Ronald",0.365
"Adames, Willy",0.462
"Adell, Jo",0.402
"Ahmed, Nick",0.295
"Albies, Ozzie",0.404
"Alexander, Blaze",0.343
"Alonso, Pete",0.46
"Altuve, Jose",0.439
"Alvarez, Francisco",0.403
"Alvarez, Yordan",0.568
"Amaya, Miguel",0.358
"Anderson, Tim",0.226
"Andujar, Miguel",0.377
"Arcia, Orlando",0.354
"Arenado, Nolan",0.394
"Arias, Gabriel",0.353
"Arozarena, Randy",0.388
"Arraez, Luis",0.392
"Bader, Harrison",0.374
"Báez, Javier",0.294
"Bailey, Patrick",0.339
"Barger, Addison",0.351
"Barnes, Austin",0.307
"Bart, Joey",0.462
"Baty, Brett",0.327
"Bauers, Jake",0.361
"Beck, Jordan",0.276
"Bell, Josh",0.405
"Bellinger, Cody",0.426
"Benintendi, Andrew",0.396
"Benson, Will",0.376
"Betts, Mookie",0.491
"Bichette, Bo",0.322
"Biggio, Cavan",0.303
"Blackmon, Charlie",0.412
"Bleday, JJ",0.437
"Bogaerts, Xander",0.382
"Bohm, Alec",0.448
"Bregman, Alex",0.453
"Brennan, Will",0.388
"Bride, Jonah",0.461
"Brown, Seth",0.379
"Bruján, Vidal",0.319
"Bryant, Kris",0.301
"Burger, Jake",0.46
"Burleson, Alec",0.42
"Busch, Michael",0.44
"Butler, Lawrence",0.49
"Buxton, Byron",0.524
"Caballero, José",0.347
"Cabrera, Oswaldo",0.367
"Calhoun, Willie",0.38
"Cameron, Daz",0.329
"Caminero, Junior",0.424
"Campusano, Luis",0.361
"Candelario, Jeimer",0.429
"Canha, Mark",0.346
"Canzone, Dominic",0.381
"Caratini, Victor",0.408
"Carlson, Dylan",0.277
"Carpenter, Kerry",0.587
"Carpenter, Matt",0.372
"Carroll, Corbin",0.428
"Carter, Evan",0.361
"Casas, Triston",0.464
"Castellanos, Nick",0.431
"Castro, Willi",0.385
"Cave, Jake",0.396
"Chapman, Matt",0.463
"Chisholm Jr., Jazz",0.436
"Chourio, Jackson",0.464
"Clement, Ernie",0.408
"Conforto, Michael",0.45
"Contreras, William",0.466
"Contreras, Willson",0.468
"Correa, Carlos",0.517
"Cowser, Colton",0.447
"Crawford, J.P.",0.321
"Cronenworth, Jake",0.39
"Crow-Armstrong, Pete",0.384
"Cruz, Oneil",0.451
"d'Arnaud, Travis",0.436
"Davis, J.D.",0.338
"De La Cruz, Bryan",0.384
"De La Cruz, Elly",0.471
"DeJong, Paul",0.427
"DeLuca, Jonny",0.331
"Devers, Rafael",0.516
"Díaz, Elias",0.382
"Diaz, Yainer",0.442
"Díaz, Yandy",0.414
"Donovan, Brendan",0.417
"Doyle, Brenton",0.446
"Drury, Brandon",0.228
"Dubón, Mauricio",0.361
"Duran, Ezequiel",0.321
"Duran, Jarren",0.492
"Duvall, Adam",0.323
