,gas_price,dozen_price,inflation_rate,unemployment_rate,fent_lbs,favorable,unfavorable
2021-01-01,2.334,1.466,1.391588,6.4,945.0664044962648,53.48888888888889,41.06666666666667
2021-02-01,2.501,1.597,1.403014,6.2,796.7626949721669,54.370370370370374,40.629629629629626
2021-03-01,2.81,1.625,1.592602,6.1,651.8919947984189,54.71875,40.1875
2021-04-01,2.858,1.62,2.212664,6.1,886.411292272963,54.06944444444444,40.583333333333336
2021-05-01,2.985,1.625,2.569395,5.8,949.6155407338364,52.861111111111114,41.77777777777778
2021-06-01,3.064,1.642,2.564809,5.9,1056.4099056382252,52.666896551724136,43.09310344827586
2021-07-01,3.136,1.642,2.330438,5.4,837.2743221258916,51.39333333333333,44.29
2021-08-01,3.158,1.709,2.335721,5.1,1132.538625526779,50.083333333333336,45.53611111111111
2021-09-01,3.175,1.835,2.607496,4.7,737.2732037209332,48.142857142857146,47.65714285714286
2021-10-01,3.291,1.821,3.009235,4.5,1211.5209005484608,45.97435897435897,49.51282051282051
2021-11-01,3.395,1.718,3.189375,4.2,803.6333446704251,45.66206896551724,50.106896551724134
2021-12-01,3.307,1.788,3.458986,3.9,1192.9259119149922,46.22727272727273,50.09090909090909
2022-01-01,3.315,1.929,3.966999,4.0,862.4878125677885,44.22105263157895,51.18421052631579
2022-02-01,3.517,2.005,4.2841,3.8,680.1785633786221,43.61290322580645,52.193548387096776
2022-03-01,4.222,2.046,4.538679,3.7,1051.5690043135912,43.68536585365853,51.76341463414634
2022-04-01,4.109,2.52,4.70841,3.7,1292.4399588652557,43.85588235294117,52.241176470588236
2022-05-01,4.444,2.863,4.956489,3.6,1080.172675865874,43.05757575757576,52.88787878787878
2022-06-01,4.929,2.707,5.40253,3.6,700.1264243104416,41.888571428571424,54.15428571428572
2022-07-01,4.559,2.936,5.593246,3.5,2159.8497030106782,40.488571428571426,55.16857142857143
2022-08-01,3.975,3.116,5.952632,3.6,2301.461531285645,43.0375,52.8375
2022-09-01,3.7,2.902,6.344649,3.5,1855.8360493905514,43.97948717948718,52.38974358974359
2022-10-01,3.815,3.419,6.315609,3.6,1050.5104825528335,44.42765957446808,52.078723404255314
2022-11-01,3.685,3.589,6.430319,3.6,1116.0091405884805,43.3421052631579,52.1578947368421
2022-12-01,3.21,4.25,6.545514,3.5,549.2374882768037,44.59090909090909,51.26969696969697
2023-01-01,3.339,4.823,6.488339,3.5,1445.4724285035136,44.191428571428574,51.17714285714286
2023-02-01,3.389,4.211,6.526576,3.6,2293.2972181011064,44.529629629629625,51.17407407407408
2023-03-01,3.422,3.446,6.390646,3.5,2853.6464263839034,43.83157894736842,51.83684210526316
2023-04-01,3.603,3.27,6.267738,3.4,3220.3162933587305,43.43333333333334,52.074074074074076
2023-05-01,3.555,2.666,5.978883,3.6,2683.455575540499,42.233333333333334,53.800000000000004
2023-06-01,3.571,2.219,5.588761,3.6,2154.5380226420493,41.44,53.592
2023-07-01,3.597,2.094,5.402919,3.5,1788.530805115557,42.12,55.28
2023-08-01,3.84,2.043,5.169678,3.7,1818.516595743091,40.99615384615385,54.857692307692304
2023-09-01,3.836,2.065,4.955445,3.8,1460.1380430674092,41.581818181818186,54.97272727272727
2023-10-01,3.613,2.072,4.882717,3.9,1939.5680827060555,41.24857142857143,55.13142857142857
2023-11-01,3.318,2.138,4.691251,3.7,2948.513955080754,40.8551724137931,55.52068965517241
2023-12-01,3.134,2.507,4.557667,3.8,2416.857469461485,41.36296296296296,54.8
2024-01-01,3.075,2.522,4.601332,3.7,2015.582802144435,41.10645161290322,54.84193548387096
2024-02-01,3.212,2.996,4.400073,3.9,1242.4467391328822,41.75333333333333,55.656666666666666
2024-03-01,3.426,2.992,4.502758,3.9,1449.119040971916,41.96153846153846,55.0
2024-04-01,3.611,2.864,4.403618,3.9,1385.272944983987,40.938095238095244,55.12142857142857
2024-05-01,3.603,2.699,4.300148,4.0,2348.160956062071,40.96756756756756,56.10270270270271
2024-06-01,3.455,2.715,4.234733,4.1,1427.496150216255,40.24583333333333,56.68958333333333
2024-07-01,3.484,3.08,4.179707,4.2,2804.615623665476,39.992063492063494,56.130158730158726
2024-08-01,3.389,3.204,4.112096,4.2,1685.3432191999184,40.97,55.486666666666665
2024-09-01,3.214,3.821,4.012724,4.1,2207.8496093099566,42.27297297297297,54.391891891891895
2024-10-01,3.137,3.37,3.963395,4.1,1772.4300468670006,41.507017543859654,55.17017543859649
2024-11-01,3.053,3.649,3.876177,4.2,2205.0032823306738,41.578947368421055,54.8421052631579
2024-12-01,3.018,4.146,3.746553,4.1,1345.8863846375364,40.28888888888889,56.611111111111114
2025-01-01,3.076,4.953,3.625276327,4.0,1029.2805890918085,37.97272727272727,56.35454545454545
